id,pub,doi,exp_location,lat,long,unique_exp,exp,trial,type,feedback_manip,type_manip,conditioning_phase_source,inoculum_source,feedback_duration,focal_family,focal_sp,focal_func,focal_anatomical_group,focal_life_cycle,growth_response,N,nCnF,nCnF_sd,yCnF,yCnF_sd,nCyF,nCyF_sd,yCyF,yCyF_sd,vi_nCnF,vi_yCnF,vi_nCyF,vi_yCyF,RII_CSD,RII_CSD_Vi,RII_PSF,RII_PSF_Vi,RII_Int,RII_Int_Vi,
3,"Bennett, J.A. & Cahill, J.F. (2016). Fungal effects on plant-plant interactions contribute to grassland plant abundances: Evidence from the field. J. Ecol., 104, 755–764.",10.1111/1365-2745.12558,field,53.0841542,-111.564035,3,1,1,competition,fungicide,alone_together,applied fungicide treatment directly to field soil (feedback phase immediately imposed),conditioned_in_field,96,Asteraceae,Artemisia ludoviciana,forb,dicot,perennial,shoot biomass,8,300.220000,150.730000,1.594600,0.698600,373.630000,266.810000,1.223000,0.212400,0.031509,0.023992,0.063743,0.003770,-0.989433,0.055501,0.108941,0.095251,-0.240826,0.123013,
4,"Bennett, J.A. & Cahill, J.F. (2016). Fungal effects on plant-plant interactions contribute to grassland plant abundances: Evidence from the field. J. Ecol., 104, 755–764.",10.1111/1365-2745.12558,field,53.0841542,-111.564035,4,2,1,competition,fungicide,alone_together,applied fungicide treatment directly to field soil (feedback phase immediately imposed),conditioned_in_field,96,Poaceae,Bouteloua gracilis,grass,monocot,perennial,shoot biomass,5,2.090000,1.640000,1.019300,0.014600,1.660000,0.480000,1.022700,0.020500,0.123147,0.000041,0.016722,0.000080,-0.344354,0.123188,-0.114667,0.139870,0.116332,0.139991,
5,"Bennett, J.A. & Cahill, J.F. (2016). Fungal effects on plant-plant interactions contribute to grassland plant abundances: Evidence from the field. J. Ecol., 104, 755–764.",10.1111/1365-2745.12558,field,53.0841542,-111.564035,5,3,1,competition,fungicide,alone_together,applied fungicide treatment directly to field soil (feedback phase immediately imposed),conditioned_in_field,96,Poaceae,Bromus inermis,grass,monocot,annual,shoot biomass,11,152.560000,76.650000,1.242600,0.291800,188.140000,128.900000,1.307500,0.302300,0.022948,0.005013,0.042673,0.004860,-0.983842,0.027961,0.104432,0.065621,-0.078982,0.075494,
6,"Bennett, J.A. & Cahill, J.F. (2016). Fungal effects on plant-plant interactions contribute to grassland plant abundances: Evidence from the field. J. Ecol., 104, 755–764.",10.1111/1365-2745.12558,field,53.0841542,-111.564035,6,4,1,competition,fungicide,alone_together,applied fungicide treatment directly to field soil (feedback phase immediately imposed),conditioned_in_field,96,Poaceae,Elymus trachycaulus,grass,monocot,perennial,shoot biomass,16,34.160000,20.700000,3.190000,3.375100,37.030000,16.430000,2.266100,2.234100,0.022950,0.069964,0.012304,0.060747,-0.829183,0.092914,0.040315,0.035254,-0.209648,0.165965,
7,"Bennett, J.A. & Cahill, J.F. (2016). Fungal effects on plant-plant interactions contribute to grassland plant abundances: Evidence from the field. J. Ecol., 104, 755–764.",10.1111/1365-2745.12558,field,53.0841542,-111.564035,7,5,1,competition,fungicide,alone_together,applied fungicide treatment directly to field soil (feedback phase immediately imposed),conditioned_in_field,96,Asteraceae,Gaillardia aristata ,forb,dicot,perennial,shoot biomass,12,65.090000,78.840000,1.578400,0.743100,77.080000,100.740000,1.804600,0.719800,0.122260,0.018471,0.142344,0.013258,-0.952649,0.140730,0.084336,0.264604,-0.017472,0.296332,
8,"Bennett, J.A. & Cahill, J.F. (2016). Fungal effects on plant-plant interactions contribute to grassland plant abundances: Evidence from the field. J. Ecol., 104, 755–764.",10.1111/1365-2745.12558,field,53.0841542,-111.564035,8,6,1,competition,fungicide,alone_together,applied fungicide treatment directly to field soil (feedback phase immediately imposed),conditioned_in_field,96,Rosaceae,Geum triflorum ,forb,dicot,perennial,shoot biomass,17,10.650000,4.810000,1.355900,0.754300,8.830000,3.810000,1.205000,0.148600,0.011999,0.018205,0.010952,0.000895,-0.774128,0.030204,-0.093429,0.022951,0.034505,0.042050,
9,"Bennett, J.A. & Cahill, J.F. (2016). Fungal effects on plant-plant interactions contribute to grassland plant abundances: Evidence from the field. J. Ecol., 104, 755–764.",10.1111/1365-2745.12558,field,53.0841542,-111.564035,9,7,1,competition,fungicide,alone_together,applied fungicide treatment directly to field soil (feedback phase immediately imposed),conditioned_in_field,96,Poaceae,Nassella viridula,grass,monocot,perennial,shoot biomass,10,26.090000,15.000000,1.256500,0.312700,18.350000,14.370000,1.217500,0.143500,0.033055,0.006193,0.061326,0.001389,-0.908105,0.039248,-0.174167,0.094380,0.158403,0.101963,
10,"Bennett, J.A. & Cahill, J.F. (2016). Fungal effects on plant-plant interactions contribute to grassland plant abundances: Evidence from the field. J. Ecol., 104, 755–764.",10.1111/1365-2745.12558,field,53.0841542,-111.564035,10,8,1,competition,fungicide,alone_together,applied fungicide treatment directly to field soil (feedback phase immediately imposed),conditioned_in_field,96,Poaceae,Poa pratensis,grass,monocot,perennial,shoot biomass,12,39.330000,35.110000,1.093000,0.055200,35.200000,21.830000,1.118000,0.097300,0.066410,0.000213,0.032051,0.000631,-0.945922,0.066622,-0.055414,0.098461,0.066721,0.099305,
11,"Bennett, J.A. & Cahill, J.F. (2016). Fungal effects on plant-plant interactions contribute to grassland plant abundances: Evidence from the field. J. Ecol., 104, 755–764.",10.1111/1365-2745.12558,field,53.0841542,-111.564035,11,9,1,competition,fungicide,alone_together,applied fungicide treatment directly to field soil (feedback phase immediately imposed),conditioned_in_field,96,Asteraceae,Solidago missouriensis,forb,dicot,perennial,shoot biomass,11,10.680000,7.830000,1.256200,0.117000,6.580000,3.630000,1.190500,0.068700,0.048864,0.000789,0.027667,0.000303,-0.789514,0.049653,-0.237543,0.076531,0.210691,0.077623,
12,"Bennett, J.A. & Cahill, J.F. (2016). Fungal effects on plant-plant interactions contribute to grassland plant abundances: Evidence from the field. J. Ecol., 104, 755–764.",10.1111/1365-2745.12558,field,53.0841542,-111.564035,12,10,1,competition,fungicide,alone_together,applied fungicide treatment directly to field soil (feedback phase immediately imposed),conditioned_in_field,96,Asteraceae,Symphyotrichum laeve,forb,dicot,perennial,shoot biomass,16,11.520000,10.640000,1.668500,0.623700,16.870000,11.130000,1.782800,0.835800,0.053316,0.008733,0.027204,0.013737,-0.746977,0.062049,0.188447,0.080521,-0.155329,0.102990,
